  9.6020000e+000  6.4800000e-001  2.9990000e+000  1.3470000e+000  1.3190000e+000
  9.3450000e+000  4.9440000e+000  2.9950000e+000  4.3860000e+000  4.3960000e+000
  1.3512000e+001  2.1010000e+000  3.0250000e+000  2.3630000e+000  2.3560000e+000
  8.3000000e+000  1.8160000e+000  2.9870000e+000  2.1650000e+000  2.1530000e+000
  9.5820000e+000  3.9150000e+000  3.0000000e+000  3.6690000e+000  3.6630000e+000
  9.8770000e+000  3.1550000e+000  2.9940000e+000  3.0960000e+000  3.1060000e+000
  9.8210000e+000  2.7090000e+000  2.9930000e+000  2.7760000e+000  2.7850000e+000
  1.1715000e+001  4.7120000e+000  3.0070000e+000  4.1980000e+000  4.2220000e+000
  8.3830000e+000  3.0040000e+000  1.2890000e+000  1.7060000e+000  4.2820000e+000
  1.5906000e+001  3.0020000e+000  2.6550000e+000  3.0210000e+000  2.9180000e+000
  1.2496000e+001  4.5030000e+000  2.4760000e+000  1.8730000e+000  1.9990000e+000
  1.1206000e+001  4.0880000e+000  3.4420000e+000  2.4760000e+000  1.9620000e+000
  8.0000000e+000  3.9590000e+000  2.1900000e+000  1.0340000e+000  3.6260000e+000
  8.9130000e+000  2.7750000e+000  4.3610000e+000  2.6790000e+000  3.6600000e+000
  9.8790000e+000  3.2560000e+000  4.1240000e+000  1.7850000e+000  3.8360000e+000
  8.8790000e+000  1.7540000e+000  4.5080000e+000  3.2710000e+000  4.4710000e+000
  1.1058000e+001  3.6990000e+000  2.5640000e+000  3.0240000e+000  1.9830000e+000
  9.6830000e+000  3.3340000e+000  3.0590000e+000  3.7020000e+000  1.8300000e+000
  1.2538000e+001  2.3990000e+000  3.6580000e+000  4.5350000e+000  2.3070000e+000
  5.7590000e+000  2.2480000e+000  3.1430000e+000  4.8650000e+000  2.2500000e+000
  9.1320000e+000  3.5210000e+000  3.4240000e+000  2.4920000e+000  2.7900000e+000
  4.7330000e+000  2.4060000e+000  4.9800000e-001  3.0680000e+000  3.8270000e+000
  3.8710000e+000  3.1600000e+000  2.9570000e+000  3.7770000e+000  2.0920000e+000
  6.3620000e+000  2.7810000e+000  3.7910000e+000  2.6600000e+000  3.6670000e+000
  1.2929000e+001  3.5960000e+000  4.4500000e+000  2.8880000e+000  2.2500000e+000
  1.1122000e+001  8.3400000e-001  3.4980000e+000  4.2050000e+000  4.8300000e+000
  1.6091000e+001  2.1730000e+000  2.2480000e+000  4.3410000e+000  2.7340000e+000
  7.3660000e+000  4.1960000e+000  4.4460000e+000  2.6850000e+000  1.6670000e+000
  6.8830000e+000  2.8690000e+000  2.4840000e+000  4.4010000e+000  1.8520000e+000
  1.5935000e+001  2.7040000e+000  1.3300000e+000  3.0580000e+000  3.2860000e+000
  9.6400000e+000  3.0290000e+000  1.0470000e+000  2.8320000e+000  3.1310000e+000
  1.1481000e+001  2.7120000e+000  4.3560000e+000  1.6240000e+000  4.7500000e+000
