-1.255759241e+002	1.000000000e+000	1.000000000e+000	-9.500000000e+000	9.025000000e+001	1.001000000e+003	1.002001000e+006	-9.500000000e+000	9.025000000e+001
5.130505098e+000	2.000000000e+000	4.000000000e+000	-8.500000000e+000	7.225000000e+001	1.002000000e+003	1.004004000e+006	-8.500000000e+000	7.225000000e+001
4.269501755e+001	3.000000000e+000	9.000000000e+000	-7.500000000e+000	5.625000000e+001	1.003000000e+003	1.006009000e+006	-7.500000000e+000	5.625000000e+001
-8.746199995e+000	4.000000000e+000	1.600000000e+001	-6.500000000e+000	4.225000000e+001	1.004000000e+003	1.008016000e+006	-6.500000000e+000	4.225000000e+001
-2.871915318e+001	5.000000000e+000	2.500000000e+001	-5.500000000e+000	3.025000000e+001	1.005000000e+003	1.010025000e+006	-5.500000000e+000	3.025000000e+001
5.192718043e+001	6.000000000e+000	3.600000000e+001	-4.500000000e+000	2.025000000e+001	1.006000000e+003	1.012036000e+006	-4.500000000e+000	2.025000000e+001
7.914912267e+001	7.000000000e+000	4.900000000e+001	-3.500000000e+000	1.225000000e+001	1.007000000e+003	1.014049000e+006	-3.500000000e+000	1.225000000e+001
4.546383271e+001	8.000000000e+000	6.400000000e+001	-2.500000000e+000	6.250000000e+000	1.008000000e+003	1.016064000e+006	-2.500000000e+000	6.250000000e+000
8.091441727e+001	9.000000000e+000	8.100000000e+001	-1.500000000e+000	2.250000000e+000	1.009000000e+003	1.018081000e+006	-1.500000000e+000	2.250000000e+000
8.053149330e+001	1.000000000e+001	1.000000000e+002	-5.000000000e-001	2.500000000e-001	1.010000000e+003	1.020100000e+006	-5.000000000e-001	2.500000000e-001
8.198563675e+001	1.100000000e+001	1.210000000e+002	5.000000000e-001	2.500000000e-001	1.011000000e+003	1.022121000e+006	5.000000000e-001	2.500000000e-001
2.555707719e+002	1.200000000e+001	1.440000000e+002	1.500000000e+000	2.250000000e+000	1.012000000e+003	1.024144000e+006	1.500000000e+000	2.250000000e+000
1.522851184e+002	1.300000000e+001	1.690000000e+002	2.500000000e+000	6.250000000e+000	1.013000000e+003	1.026169000e+006	2.500000000e+000	6.250000000e+000
1.725865548e+002	1.400000000e+001	1.960000000e+002	3.500000000e+000	1.225000000e+001	1.014000000e+003	1.028196000e+006	3.500000000e+000	1.225000000e+001
2.318408569e+002	1.500000000e+001	2.250000000e+002	4.500000000e+000	2.025000000e+001	1.015000000e+003	1.030225000e+006	4.500000000e+000	2.025000000e+001
2.625781981e+002	1.600000000e+001	2.560000000e+002	5.500000000e+000	3.025000000e+001	1.016000000e+003	1.032256000e+006	5.500000000e+000	3.025000000e+001
3.128060482e+002	1.700000000e+001	2.890000000e+002	6.500000000e+000	4.225000000e+001	1.017000000e+003	1.034289000e+006	6.500000000e+000	4.225000000e+001
2.908401214e+002	1.800000000e+001	3.240000000e+002	7.500000000e+000	5.625000000e+001	1.018000000e+003	1.036324000e+006	7.500000000e+000	5.625000000e+001
3.740535358e+002	1.900000000e+001	3.610000000e+002	8.500000000e+000	7.225000000e+001	1.019000000e+003	1.038361000e+006	8.500000000e+000	7.225000000e+001
4.392607854e+002	2.000000000e+001	4.000000000e+002	9.500000000e+000	9.025000000e+001	1.020000000e+003	1.040400000e+006	9.500000000e+000	9.025000000e+001
