160           	60            	247           	2             
156           	26            	231           	4             
193           	80            	906           	6             
191           	67            	980           	2             
200           	70            	980           	2             
190           	70            	980           	2             
194           	70            	980           	2             
170           	36            	360           	1             
132           	27            	325           	1             
111           	17            	249           	1             
177           	50            	493           	2             
173           	63            	626           	4             
115           	16            	178           	1             
203           	83            	1085          	4             
111           	17            	249           	1             
170           	27            	498           	1             
156           	44            	395           	2             
115           	17            	246           	2             
137           	27            	443           	2             
195           	62            	553           	4             
220           	86            	1116          	3             
120           	17            	124           	2             
140           	20            	124           	2             
105           	23            	250           	1             
85            	7             	124           	1             
116           	27            	124           	1             
204           	74            	884           	2             
181           	61            	942           	2             
40            	2             	49            	1             
100           	10            	198           	1             
210           	85            	653           	4             
175           	50            	749           	2             
