  9.7000000e+000  1.0100000e+001  1.9600000e+001  2.8300000e+001
  1.0100000e+001  9.5000000e+000  2.0500000e+001  2.8900000e+001
  1.0300000e+001  1.0700000e+001  2.0200000e+001  3.1000000e+001
  9.5000000e+000  9.9000000e+000  2.1500000e+001  3.1700000e+001
  1.0000000e+001  1.0300000e+001  2.1100000e+001  3.1100000e+001
  1.0000000e+001  1.0800000e+001  2.0400000e+001  2.9200000e+001
  1.0800000e+001  1.0500000e+001  2.0900000e+001  2.9100000e+001
  1.0300000e+001  9.9000000e+000  1.9600000e+001  2.8800000e+001
  9.6000000e+000  9.7000000e+000  2.0700000e+001  3.1000000e+001
  9.9000000e+000  9.3000000e+000  1.9700000e+001  3.0300000e+001
 -2.0000000e-001  1.1000000e+001  2.4000000e+001  3.5000000e+001
 -4.0000000e-001  1.2000000e+001  2.3000000e+001  3.7000000e+001
  7.0000000e-001  1.2000000e+001  2.6000000e+001  3.4000000e+001
  1.0000000e-001  1.1000000e+001  3.4000000e+001  3.4000000e+001
 -4.0000000e-001  3.4000000e+000  2.9000000e+000  2.1000000e+000
  6.0000000e-001  3.1000000e+000  2.2000000e+000  3.0000000e-001
 -2.0000000e-001  0.0000000e+000  1.6000000e+000  2.0000000e-001
  0.0000000e+000  2.3000000e+000  1.6000000e+000  2.0000000e+000
  1.0000000e-001  8.0000000e-001  2.9000000e+000  1.6000000e+000
  4.0000000e-001  3.1000000e+000  3.4000000e+000  2.2000000e+000
  9.0000000e-001  2.6000000e+000  2.2000000e+000  1.9000000e+000
  3.0000000e-001  4.0000000e-001  3.2000000e+000  1.9000000e+000
 -8.0000000e-001  2.0000000e+000  2.3000000e+000  8.0000000e-001
  7.0000000e-001  1.3000000e+000  2.3000000e+000  5.0000000e-001
 -3.0000000e-001  1.0000000e+000  0.0000000e+000  4.0000000e-001
 -8.0000000e-001  9.0000000e-001  3.3000000e+000  2.5000000e+000
 -7.0000000e-001  3.3000000e+000  2.5000000e+000  2.9000000e+000
  3.0000000e-001  1.8000000e+000  8.0000000e-001  2.0000000e+000
  3.0000000e-001  1.2000000e+000  9.0000000e-001  8.0000000e-001
 -3.0000000e-001  1.2000000e+000  7.0000000e-001  3.4000000e+000
  0.0000000e+000  3.1000000e+000  1.4000000e+000  1.0000000e+000
 -4.0000000e-001  5.0000000e-001  2.4000000e+000  3.0000000e-001
 -6.0000000e-001  1.5000000e+000  3.1000000e+000  1.5000000e+000
 -7.0000000e-001  4.0000000e-001  0.0000000e+000  7.0000000e-001
  3.0000000e-001  3.1000000e+000  2.4000000e+000  3.0000000e+000
 -1.0000000e+000  1.1000000e+000  2.2000000e+000  2.7000000e+000
 -6.0000000e-001  1.0000000e-001  3.0000000e+000  2.6000000e+000
  9.0000000e-001  1.5000000e+000  1.2000000e+000  2.0000000e-001
 -7.0000000e-001  2.1000000e+000  0.0000000e+000  1.2000000e+000
